ID;DES_FUNDAMENTO;DES_EMENTA
13;"""Artigo 8§, incisos I, II e III, al¡neas """"a"""" e """"b"""", e ? 4§, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Regra de transi‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria especial de professor, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 31/12/03. Ped gio de 20%. Conta-se o tempo de efetivo magist‚
14;Artigo 8§, incisos I, II e III, al¡neas a e b, e ?? 2§ e 3§, da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda, combinados com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03;Regra de transi‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria especial de magistrado e de membro do Minist‚rio P£blico ou do Tribunal de Contas (somente homem). Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos impl
15;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, incisos I, e ?? 4§ e 6§, da Emenda Constitucional nø 41/03, e ?? 3§ e 8§, do artigo 40, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Regra de transi‡?o da EC 41/03, antes de sua regulamenta‡?o. Aposentadoria especial de professor. Proventos integrais, com redutor de 3,5% por ano de antecipa‡?o da idade m¡nima exigida pela regra permanente. C lculo pela £ltima remunera‡?o. Paridade. Req
16;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, inciso I, ?? 2§ e 3§, e ? 6§, da Emenda Constitucional n§ 41/03, e ?? 3§ e 8§, do artigo 40, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Regra de transi‡?o da EC 41/03, antes de sua regulamenta‡?o. Aposentadoria especial de magistrado e de membro do Minist‚rio P£blico e do Tribunal de Contas (somente homem). Proventos integrais, com redutor de 3,5% por ano de antecipa‡?o da idade m¡nima ex
17;Artigo 40, ? 1§, inciso I, da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e ?? 3§ e 8§, do artigo 40, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98;Constitui‡?o na reda‡?o da EC 41/03, antes de sua regulamenta‡?o. Aposentadoria por invalidez simples. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados entre 01/01/04 e 19/02/04.
18;Artigo 40, ? 1§, inciso I, in fine, da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e ?? 3§ e 8§, do artigo 40, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98 e artigo 186, inciso I, ? 1§, da Lei n§ 8.112/90;Constitui‡?o na reda‡?o da EC 41/03, antes de sua regulamenta‡?o. Aposentadoria por invalidez qualificada. Proventos integrais, calculados pela £ltima remunera‡?o. Paridade. Requisitos implementados entre 01/01/04 e 19/02/04.
19;Artigo 40, ?? 1§, inciso II, 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98;Constitui‡?o ap¢s a EC 41/03, antes de sua regulamenta‡?o. Aposentadoria compuls¢ria aos 70 anos de idade. Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. Requisito implementado e vigˆncia entre 01/01/2004 e 19/02/2004.
20;"""Artigo 40, ? 1§, inciso III, al¡nea """"a"""", e ? 5§, da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e ?? 3§ e 8§, do artigo 40, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Constitui‡?o na reda‡?o da EC 41/03, antes de sua regulamenta‡?o. Aposentadoria especial de professor, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados entre 01/01/04 e 19/02/04. Exigido tempo exclusivo de fun‡?
21;"""Artigo 40, ? 1§, inciso III, al¡nea """"b"""", da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e ?? 3§ e 8§, do artigo 40, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Constitui‡?o na reda‡?o da EC 41/03, antes de sua regulamenta‡?o. Aposentadoria volunt ria por idade (65 anos-homem ou 60 anos-mulher, 10 anos de servi‡o p£blico e 05 anos no cargo). Proventos proporcionais, calculados pela £ltima remunera‡?o. Paridade. R
22;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, inciso I, e ?? 2§, 3§ e 6§, da Emenda Constitucional n§ 41/03, e artigo 1§ da Medida Provis¢ria n§ 167/04""";Regra de transi‡?o da EC 41/03 c/c a MP 167/04. Aposentadoria especial de magistrado e de membro do Minist‚rio P£blico e do Tribunal de Contas (somente homem). Proventos integrais, com redutor de 3,5% por ano de antecipa‡?o da idade m¡nima exigida pela re
23;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, inciso I, e ?? 4§ e 6§, da Emenda Constitucional nø 41/03, e artigo 1§ da Medida Provis¢ria n§ 167/04""";Regra de transi‡?o da EC 41/03 c/c a MP 167/04. Aposentadoria especial de professor. Proventos integrais, com redutor de 3,5% por ano de antecipa‡?o da idade m¡nima exigida pela regra permanente. C lculo pela m‚dia, sem paridade. Requisitos implementados
24;Artigo 40, ? 1§, inciso I, e ?? 3§, 8§ e 17, da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e artigo 1§ da Medida Provis¢ria n§ 167/04;Constitui‡?o na reda‡?o da EC 41/03 c/c a MP 167/04. Aposentadoria por invalidez simples, com proventos proporcionais. C lculo pela m‚dia, sem paridade. Ingresso no servi‡o p£blico ap¢s 31/12/03. Requisitos implementados e vigˆncia entre 20/02/04 e 20/06/
25;Artigo 40, ? 1§, inciso I, in fine, e ?? 3§, 8§ e 17, da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, artigo 186, inciso I, ? 1§, da Lei n§ 8.112/90, e artigo 1§ da Medida Provis¢ria n§ 167/04;Constitui‡?o na reda‡?o da EC 41/03 c/c a MP 167/04. Aposentadoria por invalidez qualificada, com proventos integrais. C lculo pela m‚dia, sem paridade. Ingresso no servi‡o p£blico ap¢s 31/12/03. Requisitos implementados e vigˆncia entre 20/02/04 e 20/06/
27;"""Artigo 40, ? 1§, inciso III, al¡nea """"a"""", e ?? 3§, 5§, 8§ e 17, da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e artigo 1§ da Medida Provis¢ria n§ 167/04""";Constitui‡?o na reda‡?o da EC 41/03 c/c a MP 167/04. Aposentadoria especial de professor, com proventos integrais. C lculo pela m‚dia, sem paridade. Requisitos implementados e vigˆncia entre 20/02/04 e 20/06/04. Exigido tempo exclusivo de fun‡?es de magis
28;"""Artigo 40, ? 1§, inciso III, al¡nea """"b"""", e ?? 3§, 8§ e 17, da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e artigo 1§ da Medida Provis¢ria n§ 167/04""";Constitui‡?o na reda‡?o da EC 41/03 c/c a MP 167/04. Aposentadoria volunt ria por idade (65 anos-homem ou 60 anos-mulher, 10 anos de servi‡o p£blico e 05 anos no cargo), com proventos proporcionais. C lculo pela m‚dia, sem paridade. Requisitos implementad
29;Artigo 6§ da Emenda Constitucional n§ 41/03, artigo 40, ? 5§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98, e artigo 2§ da Emenda Constitucional n§ 47/05;Regra de transi‡?o da EC 41/03. Aposentadoria especial de professor, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Ingresso no servi‡o p£blico at‚ 31/12/03. Requisitos implementados a partir de 01/01/2004.
30;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, inciso II, e ?? 2§, 3§ e 6§, da Emenda Constitucional n§ 41/03, e artigos 1§ e 15 da Lei n§ 10.887/04""";Regra de transi‡?o da EC 41/03 c/c Lei 10.887/04. Aposentadoria especial de magistrado e de membro do Minist‚rio P£blico e do Tribunal de Contas (somente homem). Proventos integrais, com redutor de 5% por ano de antecipa‡?o da idade m¡nima exigida pela re
31;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, inciso II, e ?? 4§ e 6§, da Emenda Constitucional n§ 41/03, e artigos 1§ e 15 da Lei n§ 10.887/04""";Regra de transi‡?o da EC 41/03 c/c Lei 10.887/04. Aposentadoria especial de professor. Proventos integrais, com redutor de 5% por ano de antecipa‡?o da idade m¡nima exigida pela regra permanente. C lculo pela m‚dia, sem paridade. Requisitos implementados
32;"""Artigo 40, inciso III, al¡nea """"a"""", e ? 4§, da CRFB, e artigos 186, inciso III, al¡nea """"a"""", e 189, par grafo £nico, da Lei n§ 8.112/90, combinado com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Constitui‡?o original c/c o artigo 3§ da EC 41/03. Aposentadoria volunt ria, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 16/12/98.
33;Artigo 40, ? 1§, inciso III, al¡nea a, e ?? 3§ e 8§, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98, combinado com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03;Constitui‡?o na reda‡?o da EC 20/98 c/c o artigo 3§ da EC 41/03. Aposentadoria volunt ria, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados at‚ 31/12/03.
34;"""Artigo 8§, incisos I, II e III, al¡neas """"a"""" e """"b"""", da Emenda Constitucional n§ 20/98, e artigo 40, ?? 3§ e 8§, da CRFB, na reda‡?o dessa Emenda, combinado com os artigos 3§ e 7§ da Emenda Constitucional n§ 41/03""";Regra de transi‡?o da EC 20/98, c/c o artigo 3§ da EC 41/03. Aposentadoria volunt ria, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade . Requisitos implementados at‚ 31/12/03. Ped gio de 20%.
35;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, inciso I, e ? 6§, da Emenda Constitucional n§ 41/03, e ?? 3§ e 8§, do artigo 40, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Regra de transi‡?o da EC 41/03, antes de sua regulamenta‡?o. Aposentadoria volunt ria com proventos integrais, com redutor de 3,5% por ano de antecipa‡?o da idade m¡nima exigida pela regra permanente. C lculo pela £ltima remunera‡?o. Paridade. Requisitos
36;"""Artigo 40, ? 1§, inciso III, al¡nea """"a"""", da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e ?? 3§ e 8§, do artigo 40, da CRFB, na reda‡?o da Emenda Constitucional n§ 20/98""";Constitui‡?o na reda‡?o da EC 41/03, antes de sua regulamenta‡?o. Aposentadoria volunt ria com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Requisitos implementados entre 01/01/04 e 19/02/04.
37;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, inciso I, e ? 6§, da Emenda Constitucional n§ 41/03, e artigo 1§ da Medida Provis¢ria n§ 167/04""";Regra de transi‡?o da EC 41/03 c/c a MP 167/04. Aposentadoria volunt ria com proventos integrais, com redutor de 3,5% por ano de antecipa‡?o da idade m¡nima exigida pela regra permanente. C lculo pela m‚dia, sem paridade. Requisitos implementados e vigˆnc
38;Artigo 3§, incisos I, II e III, e par grafo £nico da Emenda Constitucional n§ 47/05;Regra de transi‡?o da EC 47/05. Aposentadoria volunt ria com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Ingresso no servi‡o p£blico at‚ 16/12/98. Requisitos implementados a partir de 31/12/2003.
39;"""Artigo 40, ? 1§, inciso III, al¡nea """"a"""", e ?? 3§, 8§ e 17, da CRFB, na reda‡?o da Emenda Constitucional n§ 41/03, e artigo 1§ da Medida Provis¢ria n§ 167/04""";Constitui‡?o na reda‡?o da EC 41/03 c/c a MP 167/04. Aposentadoria volunt ria com proventos integrais. C lculo pela m‚dia, sem paridade. Requisitos implementados e vigˆncia entre 20/02/04 e 20/06/04.
40;Artigo 6§, incisos I, II, III e IV, da Emenda Constitucional n§ 41/03 e artigo 2§ da Emenda Constitucional n§ 47/05;Regra de transi‡?o da EC 41/03. Aposentadoria volunt ria, com proventos integrais. C lculo pela £ltima remunera‡?o. Paridade. Ingresso no servi‡o p£blico at‚ 31/12/03. Requisitos implementados a partir de 01/01/04.
41;"""Artigo 2§, incisos I, II e III, al¡neas """"a"""" e """"b"""", ? 1§, inciso II, e ? 6§, da Emenda Constitucional n§ 41/03, e artigos 1§ e 15 da Lei n§ 10.887/04""";Regra de transi‡?o da EC 41/03 c/c Lei 10.887/04. Aposentadoria volunt ria com proventos integrais. Redutor de 5% por ano de antecipa‡?o da idade m¡nima exigida pela regra permanente. C lculo pela m‚dia, sem paridade. Requisitos implementados a partir de
42;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"a"""", da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02""";Atingimento (Oficial Superior), at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
43;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"b"""", da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02""";Atingimento (Capit?es e Oficiais Subalternos), at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inativid
44;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"c"""", da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02""";Atingimento (Pra‡as), at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
45;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"a"""", da Lei n§ 7.289/84, na reda‡?o do artigo 64 da Lei n§ 12.086/09, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02""";Atingimento (Oficiais) , a partir de 09/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
46;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"b"""", da Lei n§ 7.289/84, na reda‡?o do artigo 64 da Lei n§ 12.086/09, c/c o artigo 20, ? 1§, inciso I, da Lei n§ 10.486/02""";Atingimento (Pra‡as), a partir de 09/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
47;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"a"""", da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02""";Atingimento (Oficial Superior), at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
48;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"b"""", da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02""";Atingimento (Capit?es e Oficiais Subalternos), at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inat
49;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"c"""", da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02""";Atingimento (Pra‡as), at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
50;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"a"""", da Lei n§ 7.289/84, na reda‡?o do artigo 64 da Lei n§ 12.086/09, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02""";Atingimento (Oficiais), a partir de 09/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
51;"""Artigos 87, inciso II, e 94, inciso I, al¡nea """"b"""", da Lei n§ 7.289/84, na reda‡?o do artigo 64 da Lei n§ 12.086/09, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02""";Atingimento (Pra‡as), a partir de 09/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
52;Artigos 87, inciso II, 94, inciso II, e 96, inciso I, da Lei n§ 7.289/84, combinados com os artigos 20, ?? 1§, inciso I, e 4§, e 24, inciso I, da Lei n§ 10.486/02;Incapacidade definitiva decorrente de ferimento recebido em opera‡?es policiais-militares ou na manuten‡?o da ordem p£blica. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para
53;Artigos 87, inciso II, 94, inciso II, e 96, inciso II, da Lei n§ 7.289/84, combinados com os artigos 20, ?? 1§, inciso I, e 4§, e 24, inciso I, da Lei n§ 10.486/02;Incapacidade definitiva decorrente de enfermidade contra¡da em opera‡?es policiais-militares ou na manuten‡?o da ordem p£blica, ou enfermidade cuja causa eficiente decorra de uma dessas situa‡?es. Proventos integrais, calculados com base na remunera‡?o co
54;Artigos 87, inciso II, 94, inciso II e 96, inciso III, da Lei n§ 7.289/84, combinados com os artigos 20, ?? 1§, inciso I, e 4§, e 24, inciso II, da Lei n§ 10.486/02;Incapacidade definitiva decorrente de acidente em servi‡o. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
55;Artigos 87, inciso II, 94, inciso II, e 96, inciso IV, da Lei n§ 7.289/84, combinados com os artigos 20, ?? 1§, inciso I, e 4§, e 24, inciso III, da Lei n§ 10.486/02;Incapacidade definitiva decorrente de doen‡a, mol‚stia ou enfermidade adquirida em tempo de paz, com rela‡?o de causa e efeito a condi‡?es inerentes ao servi‡o. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que
56;Artigos 87, inciso II, 94, inciso II, e 96, inciso V, da Lei n§ 7.289/84, combinados com os artigos 20, ?? 1§, inciso I, e 4§, e 24, inciso IV e ? 1§, da Lei n§ 10.486/02;Incapacidade definitiva decorrente de mol‚stia profissional, doen‡a grave, contagiosa ou incur vel (especificada em lei), desde que torne o militar total ou permanentemente inv lido para qualquer trabalho. Proventos integrais, calculados com base na remun
58;Artigos 87, inciso II, 94, inciso II, e 96, inciso V, da Lei n§ 7.289/84, combinados com os artigos 20, ?? 1§, inciso II, e 4§, e 24, ? 2§, da Lei n§ 10.486/02;Incapacidade definitiva decorrente de mol‚stia profissional, doen‡a grave, contagiosa ou incur vel (especificada em lei), desde que n?o torne o militar total ou permanentemente inv lido para qualquer trabalho. Proventos proporcionais, calculados com base
59;"""Artigos 59, """"caput"""", 87, inciso II, 94, inciso II, 96, inciso VI da Lei n§ 7.289/84, combinados com os artigos 20, ?? 1§, inciso I, e 4§, e 25 da Lei n§ 10.486/02""";Incapacidade definitiva decorrente de acidente ou doen‡a, mol‚stia ou enfermidade, sem rela‡?o de causa e efeito com o servi‡o. Militar com 30 anos ou mais de servi‡o. Proventos integrais.
60;Artigos 87, inciso II, 94, inciso II, 96, inciso VI, da Lei n§ 7.289/84, combinados com os artigos 20, ?? 1§, inciso II, e 4§, e 25 da Lei n§ 10.486/02;Incapacidade definitiva decorrente de acidente ou doen‡a, mol‚stia ou enfermidade, sem rela‡?o de causa e efeito com o servi‡o. Proventos proporcionais.
61;Artigos 87, inciso II, 94, inciso III, da Lei n§ 7.289/84, combinados com o artigo 20, ?? 1§, inciso II, e 4§, da Lei n§ 10.486/02;Agrega‡?o h  mais de 2 (dois) anos, por ter sido julgado incapaz, temporariamente, mediante homologa‡?o da Junta Superior de Sa£de, ainda mesmo que se trate de mol‚stia cur vel. Proventos proporcionais, calculados com base na remunera‡?o correspondente ao
62;"""Artigos 88, inciso II, e 95, inciso I, al¡nea """"a"""", da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02""";Atingimento (Oficial Superior), at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
63;"""Artigos 88, inciso II, e 95, inciso I, al¡nea """"b"""", da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02""";Atingimento (Capit?es e Oficiais Subalternos), at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inativid
64;"""Artigos 88, inciso II, e 95, inciso I, al¡nea """"c"""", da Lei n§ 7.479/86, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02""";Atingimento (Pra‡as) , at‚ 08/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
65;"""Artigos 88, inciso II, e 95, inciso I, al¡nea """"a"""", da Lei n§ 7.479/86, na reda‡?o do artigo 110 da Lei n§ 12.086/09, combinados com o artigo 20, ?? 1§, inciso I, e 4ø, da Lei n§ 10.486/02""";Atingimento (Oficiais), a partir de 09/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
66;"""Artigos 88, inciso II, e 95, inciso I, al¡nea """"b"""", da Lei n§ 7.479/86, na reda‡?o do artigo 110 da Lei n§ 12.086/09, combinados com o artigo 20, ?? 1§, inciso I, e 4§, da Lei n§ 10.486/02""";Atingimento (Pra‡as), a partir de 09/11/09, da idade-limite de permanˆncia na reserva remunerada. Proventos integrais, calculados com base na remunera‡?o correspondente ao cargo efetivo em que se deu o ato de transferˆncia para a inatividade.
